k,measurement,mean,lb,ub
0,RBO,0.635522458,0.616370869,0.654674047
50,RBO,0.680637972,0.660637972,0.711637972
100,RBO,0.71337972,0.69337972,0.74437972
180,RBO,0.737047014,0.717047014,0.768047014
358,RBO,0.758808264,0.738808264,0.789808264
538,RBO,0.799701069,0.779701069,0.830701069
718,RBO,0.831720415,0.811720415,0.862720415
897,RBO,0.88188892,0.86188892,0.91288892
1076,RBO,1,1,1
