k,measurement,mean,lb,ub
1,RBO,0.65,0.63,0.67
2,RBO,0.67,0.65,0.69
3,RBO,0.69,0.67,0.71
4,RBO,0.709711069,0.689711069,0.729711069
5,RBO,0.68,0.66,0.7
6,RBO,0.66,0.64,0.68
