k,measurement,mean,lb,ub
1,RBO,0.52,0.5,0.54
2,RBO,0.56,0.54,0.58
3,RBO,0.59,0.57,0.61
4,RBO,0.612991414,0.592991414,0.632991414
5,RBO,0.58,0.56,0.6
6,RBO,0.57,0.55,0.59
