k,measurement,mean,lb,ub
1,RBO,0.47,0.45,0.49
2,RBO,0.49,0.47,0.51
3,RBO,0.5,0.48,0.52
4,RBO,0.52,0.5,0.54
5,RBO,0.51,0.49,0.53
6,RBO,0.49,0.47,0.51
