k,measurement,mean,lb,ub
1,RBO,0.5511,0.5311,0.5711
2,RBO,0.59265,0.57265,0.61265
3,RBO,0.63231,0.61231,0.65231
4,RBO,0.653111414,0.633111414,0.673111414
5,RBO,0.614126,0.594126,0.634126
6,RBO,0.604213,0.584213,0.624213
