k,measurement,mean,lb,ub
1,RBO,0.5368323,0.5268323,0.568323
2,RBO,0.59768323,0.57768323,0.61768323
3,RBO,0.6889,0.6689,0.6989
4,RBO,0.730701069,0.714582885,0.746819254
5,RBO,0.68,0.66,0.7
6,RBO,0.61,0.59,0.63
