k,measurement,mean,lb,ub
0,Jaccard,1,1,1
5,Jaccard,0.7946,0.778141867,0.814823598
10,Jaccard,0.7458,0.7258,0.7658
15,Jaccard,0.708420415,0.684834089,0.72006741
20,Jaccard,0.666501069,0.646501069,0.686501069
25,Jaccard,0.635508264,0.617424278,0.65359225
30,Jaccard,0.604987014,0.586256891,0.6246538
