k,measurement,mean,lb,ub
0,Jaccard,1,1,1
5,Jaccard,0.735767096,0.71617439,0.755536675
10,Jaccard,0.6556,0.6356,0.6656
15,Jaccard,0.5778,0.5578,0.5978
20,Jaccard,0.4978,0.4678,0.5178
25,Jaccard,0.47,0.43,0.5
30,Jaccard,0.4,0.38,0.43
