k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.8957,0.879241867,0.915923598
10,RBO,0.8313,0.8113,0.8513
15,RBO,0.783820415,0.770234089,0.797406741
20,RBO,0.751811069,0.735692885,0.767929254
25,RBO,0.702148264,0.684064278,0.72023225
30,RBO,0.680247014,0.661516891,0.6999138
