k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.791267096,0.77167439,0.811036675
10,RBO,0.7,0.68,0.71
15,RBO,0.6,0.58,0.62
20,RBO,0.52,0.49,0.54
25,RBO,0.47,0.43,0.5
30,RBO,0.4,0.38,0.43
