percentage,measurement,mean,lb,ub
0,dist,1,1,1
5,dist,0.962040883,0.953267518,0.970814247
10,dist,0.935101382,0.922993289,0.947209476
15,dist,0.913108865,0.896851473,0.929366258
20,dist,0.878745015,0.855540401,0.901949628
25,dist,0.860546281,0.835191886,0.885900676
30,dist,0.826547815,0.797060012,0.856035619
