percentage,measurement,mean,lb,ub
0,dist,1,1,1
5,dist,0.979491932,0.974819572,0.984164291
10,dist,0.965999154,0.960858428,0.971139879
15,dist,0.95827624,0.952044368,0.964508112
20,dist,0.947537331,0.939614125,0.955460537
25,dist,0.934297323,0.924528037,0.944066609
30,dist,0.920607141,0.909131378,0.932082903
