percentage,measurement,mean,lb,ub
0,dist,1,1,1
5,dist,0.891148225,0.881324324,0.924424324
10,dist,0.839227574,0.82676887,0.871686279
15,dist,0.814530468,0.798765688,0.830295249
20,dist,0.784832619,0.764891717,0.804773521
25,dist,0.760757745,0.738969128,0.782546361
30,dist,0.739603743,0.714911491,0.764295994
