percentage,measurement,mean,lb,ub
0,dist,1,1,1
5,dist,0.890148225,0.880905607,0.899390844
10,dist,0.869227574,0.85676887,0.881686279
15,dist,0.844530468,0.828765688,0.860295249
20,dist,0.814832619,0.794891717,0.834773521
25,dist,0.790757745,0.768969128,0.812546361
30,dist,0.769603743,0.744911491,0.794295994
