percentage,measurement,mean,lb,ub
0,dist,1,1,1
5,dist,0.99059074,0.987431797,0.993749683
10,dist,0.985450037,0.981241659,0.989658415
15,dist,0.979664868,0.974735582,0.984594154
20,dist,0.975646758,0.970323073,0.980970443
25,dist,0.96715136,0.961238197,0.973064523
30,dist,0.96354464,0.957144179,0.969945102
