percentage,measurement,mean,lb,ub
0,dist,1.0,1.0,1.0
5,dist,0.9764919316260945,0.9718195720867366,0.9811642911654523
10,dist,0.9629991538419088,0.957858428259676,0.9681398794241416
15,dist,0.9552762403084942,0.9490443684983035,0.9615081121186849
20,dist,0.944537331065083,0.9366141249068586,0.9524605372233074
25,dist,0.9312973230697891,0.9215280368695359,0.9410666092700423
30,dist,0.9176071408375946,0.9061313782711584,0.9290829034040309
