k,measurement,mean,lb,ub
0,RBO,1.0,1.0,1.0
5,RBO,0.8193059115756143,0.8025341026241299,0.8360777205270986
10,RBO,0.7583073488828088,0.7385205074937901,0.7780941902718276
15,RBO,0.6850974243893121,0.6619081878988764,0.7082866608797478
20,RBO,0.6129914136895239,0.5911106910628184,0.6348721363162294
25,RBO,0.5470345783899944,0.5216025655040138,0.5724665912759749
30,RBO,0.45878481085706796,0.43102700380732745,0.48654261790680847
