k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.8305912,0.802534103,0.8607772
10,RBO,0.7539349,0.721752507,0.780132619
15,RBO,0.685097424,0.661908188,0.708286661
20,RBO,0.625211414,0.603330691,0.647092136
25,RBO,0.547034578,0.521602566,0.566591
30,RBO,0.481004811,0.453247004,0.508762618
