k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.803387096,0.78379439,0.823156675
10,RBO,0.7,0.68,0.71
15,RBO,0.623121,0.603121,0.643121
20,RBO,0.52,0.49,0.54
25,RBO,0.443232,0.423232,0.4613232
30,RBO,0.4,0.38,0.43
