k,measurement,mean,lb,ub
1,RBO,0.66,0.639,0.683
2,RBO,0.67,0.649,0.693
3,RBO,0.68,0.659,0.703
4,RBO,0.69711069,0.67611069,0.72011069
5,RBO,0.7,0.679,0.723
6,RBO,0.709711069,0.688711069,0.732711069
7,RBO,0.7,0.679,0.723
8,RBO,0.68,0.659,0.703
9,RBO,0.68,0.659,0.703
10,RBO,0.67,0.649,0.693
11,RBO,0.67,0.649,0.693
12,RBO,0.66,0.639,0.683
