k,measurement,mean,lb,ub
1,RBO,0.52,0.5175,0.546
2,RBO,0.56,0.5575,0.586
3,RBO,0.59,0.5875,0.616
4,RBO,0.601299141,0.598799141,0.627299141
5,RBO,0.60991414,0.60741414,0.63591414
6,RBO,0.612991414,0.610491414,0.638991414
7,RBO,0.59,0.5875,0.616
8,RBO,0.57,0.5675,0.596
9,RBO,0.55,0.5475,0.576
10,RBO,0.54,0.5375,0.566
11,RBO,0.53,0.5275,0.556
12,RBO,0.53,0.5275,0.556
