k,measurement,mean,lb,ub
1,RBO,0.59568323,0.57468323,0.61868323
2,RBO,0.63568323,0.61468323,0.65868323
3,RBO,0.66768323,0.64668323,0.69068323
4,RBO,0.690701069,0.669701069,0.713701069
5,RBO,0.713701069,0.692701069,0.736701069
6,RBO,0.730701069,0.709701069,0.753701069
7,RBO,0.728323,0.707323,0.751323
8,RBO,0.71768323,0.69668323,0.74068323
9,RBO,0.6889,0.6679,0.7119
10,RBO,0.6568323,0.6358323,0.6798323
11,RBO,0.63768323,0.61668323,0.66068323
12,RBO,0.6189,0.5979,0.6419
