k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.843356,0.826897867,0.863579598
10,RBO,0.783277,0.763277,0.803277
15,RBO,0.743909415,0.730323089,0.757495741
20,RBO,0.702789369,0.686671185,0.718907554
25,RBO,0.672996564,0.654912578,0.69108055
30,RBO,0.641235314,0.622505191,0.6609021
