k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.900559,0.889140867,0.925822598
10,RBO,0.851099,0.8311119,0.871099
15,RBO,0.805942415,0.792356089,0.829528741
20,RBO,0.764133069,0.748014885,0.790251254
25,RBO,0.725470264,0.707386278,0.75155425
30,RBO,0.691369014,0.662638891,0.70036
