k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.8834,0.866941867,0.903623598
10,RBO,0.8223,0.8023,0.8423
15,RBO,0.7719215,0.749124089,0.796296741
20,RBO,0.728813189,0.702695005,0.744931374
25,RBO,0.686820384,0.668736398,0.70490437
30,RBO,0.643959134,0.625229011,0.66362592
