k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.93,0.92,0.94
10,RBO,0.9,0.88,0.91
15,RBO,0.86,0.85,0.88
20,RBO,0.822720415,0.809134089,0.836306741
25,RBO,0.780701069,0.764582885,0.796819254
30,RBO,0.739808264,0.721724278,0.75789225
