k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.918,0.908,0.928
10,RBO,0.888,0.868,0.898
15,RBO,0.848,0.838,0.868
20,RBO,0.810720415,0.797134089,0.824306741
25,RBO,0.768701069,0.752582885,0.784819254
30,RBO,0.727808264,0.709724278,0.74589225
