k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.89023,0.8723,0.9123
10,RBO,0.832560217,0.815816992,0.849303442
15,RBO,0.76267714,0.746530296,0.786005132
20,RBO,0.714865763,0.693228464,0.736503062
25,RBO,0.658180457,0.634446665,0.681914248
30,RBO,0.6180457,0.594446665,0.631914248
