k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.86,0.843541867,0.880223598
10,RBO,0.81,0.79,0.83
15,RBO,0.772720415,0.759134089,0.786306741
20,RBO,0.730701069,0.714582885,0.746819254
25,RBO,0.689808264,0.671724278,0.70789225
30,RBO,0.658047014,0.639316891,0.6777138
