percentage,measurement,mean,lb,ub
0,dist,1.0,1.0,1.0
5,dist,0.9670408826474509,0.9582675182540643,0.9758142470408375
10,dist,0.9401013823779687,0.9279932890334683,0.9522094757224691
15,dist,0.9181088653407944,0.9018514728512413,0.9343662578303474
20,dist,0.8837450147860002,0.8605404012341822,0.9069496283378182
25,dist,0.8655462811089726,0.8401918860174835,0.8909006762004616
30,dist,0.831547815484609,0.8020600124494175,0.8610356185198005
