k,measurement,mean,lb,ub
0,Jaccard,1,1,1
5,Jaccard,1,1,1
10,Jaccard,1,1,1
15,Jaccard,0.910909091,0.892783507,0.929034674
20,Jaccard,0.853030303,0.83447552,0.871585086
25,Jaccard,0.823939394,0.806577895,0.841300893
30,Jaccard,0.778484848,0.758649306,0.798320391
