id,utility,view
1,0.7698888998279494,thal_thalach_sum
2,0.722473972634631,thal_age_sum
3,0.7065485892959181,thal_chol_sum
4,0.6979433732265232,thal_restbp_sum
5,0.6924794082337582,cp_oldpeak_sum
6,0.6823508206209028,thal_oldpeak_sum
7,0.6329263610117116,exang_oldpeak_sum
8,0.6247196312537171,ca_oldpeak_sum
9,0.6219042230558305,cp_chol_sum
10,0.608136312069339,cp_thalach_sum
11,0.6017585730781838,cp_restbp_sum
12,0.5943427722965213,cp_age_sum
13,0.5731602096807069,exang_age_sum
14,0.5716069527244977,exang_restbp_sum
15,0.5558592898257952,exang_chol_sum
16,0.5408055367163976,ca_thalach_sum
17,0.5355268375231186,ca_restbp_sum
18,0.532872018673842,slope_chol_sum
19,0.5305790702369515,exang_thalach_sum
20,0.527581279325344,slope_restbp_sum
21,0.5223124973402226,ca_age_sum
22,0.5163211899323258,ca_chol_sum
23,0.5122747588063922,slope_age_sum
24,0.49873565751565674,slope_thalach_sum
25,0.4377612474800816,slope_oldpeak_sum
26,0.4175919943950818,sex_chol_sum
27,0.3888056817370589,sex_thalach_sum
28,0.38327803091096857,cp_oldpeak_avg
29,0.36861360556375045,sex_age_sum
30,0.33230367982265585,cp_oldpeak_max
31,0.3318119729120677,sex_restbp_sum
32,0.31879729456885025,sex_oldpeak_max
33,0.25396826688155333,ca_oldpeak_max
34,0.23901367638312188,restecg_thalach_sum
35,0.23542908537947146,restecg_restbp_sum
36,0.2339055974326918,restecg_chol_sum
37,0.23279427921416557,sex_oldpeak_sum
38,0.23208696639514187,exang_chol_max
39,0.22776303395082453,restecg_age_sum
40,0.18205217567490536,restecg_oldpeak_max
41,0.17968406939596535,restecg_chol_max
42,0.17679516004855148,ca_chol_max
43,0.1700704940525391,restecg_oldpeak_sum
44,0.16144790656113508,ca_oldpeak_avg
45,0.14769516386885095,fbs_chol_max
46,0.13813372065923932,sex_chol_max
47,0.13659488535639677,thal_chol_max
48,0.13444723413480847,sex_oldpeak_avg
49,0.133365935055109,restecg_chol_avg
50,0.12735430365962017,cp_chol_max
51,0.12634030490827783,thal_oldpeak_max
52,0.11180663515557589,slope_chol_max
53,0.10579836283611775,thal_oldpeak_avg
54,0.10514632143017512,restecg_age_avg
55,0.09965797551006893,fbs_oldpeak_avg
56,0.09375348455882519,exang_oldpeak_avg
57,0.08463666797186795,slope_oldpeak_max
58,0.08345201211053034,sex_age_max
59,0.08189654810352676,exang_oldpeak_max
60,0.07606980905313429,restecg_age_max
61,0.07268195187322271,fbs_oldpeak_sum
62,0.07158409086444924,restecg_oldpeak_avg
63,0.07079609303097383,fbs_chol_sum
64,0.06467938839828324,ca_age_max
65,0.05934262729187858,restecg_restbp_max
66,0.05922366667121513,restecg_thalach_avg
67,0.054587786329393644,restecg_thalach_max
68,0.05417952410901455,fbs_oldpeak_max
69,0.053286755041569954,fbs_restbp_max
70,0.05208732478248936,sex_restbp_max
71,0.048720822150295225,ca_restbp_max
72,0.04644186281986986,thal_thalach_max
73,0.04362960771788145,ca_thalach_max
74,0.04309984190089438,exang_age_max
75,0.04238588959626903,fbs_age_sum
76,0.04092901286199625,cp_restbp_max
77,0.04063266624460026,slope_thalach_max
78,0.04050334860659405,sex_restbp_avg
79,0.03993787396070413,slope_oldpeak_avg
80,0.039544141245829126,cp_age_max
81,0.03600867396697854,slope_age_max
82,0.03589853221882981,fbs_restbp_sum
83,0.0356491797082112,ca_chol_avg
84,0.035645794085636506,fbs_chol_avg
85,0.03429420863117398,slope_thalach_avg
86,0.033736567923345465,fbs_thalach_sum
87,0.03349829136762719,thal_age_avg
88,0.03310101510982415,cp_chol_avg
89,0.032685885090077055,cp_age_avg
90,0.028444285353545654,thal_restbp_max
91,0.026093542536649434,cp_restbp_avg
92,0.024401148545067267,sex_thalach_avg
93,0.023682351855176375,ca_restbp_avg
94,0.021239723973831098,ca_age_avg
95,0.019838135357708384,fbs_age_max
96,0.019783107593945044,exang_chol_avg
97,0.01908217214315136,ca_thalach_avg
98,0.015412623724286924,slope_restbp_max
99,0.015158785636275911,fbs_age_avg
100,0.014791492716219289,thal_chol_avg
101,0.013679149040811177,sex_thalach_max
102,0.013526750874105608,cp_thalach_avg
103,0.012243277787602955,slope_age_avg
104,0.012178256945034353,slope_restbp_avg
105,0.011520342013575623,fbs_restbp_avg
106,0.011180095717178429,exang_thalach_avg
107,0.01082369700504244,sex_chol_avg
108,0.010480433423127466,exang_restbp_max
109,0.009765358789439123,exang_age_avg
110,0.009392786964644842,cp_thalach_max
111,0.009063850922106709,exang_restbp_avg
112,0.008835738275316212,slope_chol_avg
113,0.008567254745326817,restecg_restbp_avg
114,0.00656318166209261,thal_age_max
115,0.00656158214826281,fbs_thalach_avg
116,0.005309922499733298,thal_thalach_avg
117,0.0049526267411312734,sex_age_avg
118,0.004822147910955377,thal_restbp_avg
119,0.004776050068448068,exang_thalach_max
120,0.0016050545481479423,fbs_thalach_max
