id,utility,view
1,0.7397531937984001,thal_oldpeak_sum
2,0.718509703070422,thal_thalach_sum
3,0.7184788449523011,thal_restbp_sum
4,0.7101716497003995,thal_chol_sum
5,0.6856068992498252,thal_age_sum
6,0.6667266901851016,cp_oldpeak_sum
7,0.6604832829078432,exang_oldpeak_sum
8,0.6160608787086023,cp_chol_sum
9,0.6099072595737325,cp_restbp_sum
10,0.6045127346833579,cp_thalach_sum
11,0.6035714457970786,ca_oldpeak_sum
12,0.5985463906219567,cp_age_sum
13,0.5791907821745355,exang_chol_sum
14,0.5759666121146424,exang_restbp_sum
15,0.5615631126346988,exang_age_sum
16,0.5510810922421355,ca_thalach_sum
17,0.5473292237244317,ca_age_sum
18,0.5446159127862596,exang_thalach_sum
19,0.5373243740854007,slope_restbp_sum
20,0.5356949307748679,ca_restbp_sum
21,0.5342362844906401,slope_chol_sum
22,0.5335146060281089,ca_chol_sum
23,0.5174713412550103,slope_age_sum
24,0.5043113185013313,slope_thalach_sum
25,0.4123622889937292,slope_oldpeak_sum
26,0.3854998044359915,sex_age_sum
27,0.38287656660335334,sex_chol_sum
28,0.34913412382292675,sex_thalach_sum
29,0.3485268476649217,sex_restbp_sum
30,0.3057824314615751,sex_oldpeak_sum
31,0.2578582963334698,cp_oldpeak_avg
32,0.23525543306395513,restecg_thalach_sum
33,0.2240851759823957,restecg_restbp_sum
34,0.21903382770810034,restecg_age_sum
35,0.21432358475241145,restecg_chol_sum
36,0.20233264825577177,sex_oldpeak_max
37,0.19754796053151585,ca_chol_max
38,0.19344448994565674,ca_oldpeak_max
39,0.1925416777510856,cp_oldpeak_max
40,0.18205217567490536,restecg_oldpeak_max
41,0.17968406939596535,restecg_chol_max
42,0.1634895580684583,exang_chol_max
43,0.15045450999714272,restecg_oldpeak_sum
44,0.13813372065923932,sex_chol_max
45,0.13659488535639677,thal_chol_max
46,0.12634030490827783,thal_oldpeak_max
47,0.12400572576972263,cp_chol_max
48,0.1135979236430481,thal_oldpeak_avg
49,0.11180663515557589,slope_chol_max
50,0.10761997775097581,restecg_age_avg
51,0.09402764390740813,restecg_chol_avg
52,0.08614294912367296,sex_oldpeak_avg
53,0.08345201211053034,sex_age_max
54,0.08189654810352676,exang_oldpeak_max
55,0.07698779421016984,exang_oldpeak_avg
56,0.07606980905313429,restecg_age_max
57,0.06872237337161592,ca_oldpeak_avg
58,0.06178219076111261,restecg_oldpeak_avg
59,0.061673460261258986,restecg_thalach_avg
60,0.059494167229983665,ca_age_max
61,0.05934262729187858,restecg_restbp_max
62,0.054587786329393644,restecg_thalach_max
63,0.048720822150295225,ca_restbp_max
64,0.04644186281986986,thal_thalach_max
65,0.04458513051916486,slope_oldpeak_max
66,0.04362960771788145,ca_thalach_max
67,0.04309984190089438,exang_age_max
68,0.04184688204746807,fbs_chol_max
69,0.04092901286199625,cp_restbp_max
70,0.04033407664522202,fbs_oldpeak_max
71,0.039118221578073924,sex_restbp_avg
72,0.03836165474059909,cp_age_max
73,0.03803054072313308,ca_chol_avg
74,0.03600867396697854,slope_age_max
75,0.03586678246389417,fbs_oldpeak_avg
76,0.03065011588319798,cp_age_avg
77,0.03050135929979078,fbs_restbp_max
78,0.03042069110514962,thal_age_avg
79,0.029852820519971825,sex_thalach_avg
80,0.02982646985122079,slope_oldpeak_avg
81,0.028444285353545654,thal_restbp_max
82,0.028088930889505377,slope_thalach_avg
83,0.02802739030264916,slope_thalach_max
84,0.02761106896953338,thal_chol_avg
85,0.026448334458381604,cp_chol_avg
86,0.025956863857303676,fbs_thalach_max
87,0.025619631455791415,ca_restbp_avg
88,0.02250161316588266,cp_restbp_avg
89,0.02229497671687188,sex_thalach_max
90,0.020517715144809726,fbs_chol_avg
91,0.02050040501650031,ca_age_avg
92,0.019838135357708384,fbs_age_max
93,0.018886363458817328,cp_thalach_avg
94,0.01788045673112492,fbs_oldpeak_sum
95,0.017112960016465197,cp_thalach_max
96,0.015983542875873096,ca_thalach_avg
97,0.015412623724286924,slope_restbp_max
98,0.013929848553331547,exang_thalach_avg
99,0.013914085962131445,slope_restbp_avg
100,0.012895407679575614,fbs_restbp_avg
101,0.012205849765446957,exang_age_avg
102,0.011781650322148625,exang_chol_avg
103,0.011046698788560197,fbs_age_avg
104,0.010480433423127466,sex_restbp_max
105,0.010480433423127466,exang_restbp_max
106,0.010382649521282898,fbs_chol_sum
107,0.008834967135980722,exang_restbp_avg
108,0.008591745154410762,restecg_restbp_avg
109,0.007718496964842073,fbs_thalach_avg
110,0.007422814463649222,slope_chol_avg
111,0.007266567825844583,slope_age_avg
112,0.006871279539717895,fbs_restbp_sum
113,0.00656318166209261,thal_age_max
114,0.006432816629819266,sex_chol_avg
115,0.005484559708832033,fbs_age_sum
116,0.005330355272434811,sex_age_avg
117,0.00504410537893282,thal_thalach_avg
118,0.004897929304926944,thal_restbp_avg
119,0.004776050068448068,exang_thalach_max
120,0.003993004615930613,fbs_thalach_sum
