k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.830405912,0.813634103,0.847177721
10,RBO,0.767090169,0.747303327,0.78687701
15,RBO,0.685097424,0.661908188,0.708286661
20,RBO,0.615284334,0.593403611,0.637165056
25,RBO,0.547034578,0.521602566,0.572466591
30,RBO,0.469894811,0.442137004,0.497652618
