k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.92663232,0.910174187,0.946855918
10,RBO,0.86553232,0.84553232,0.88553232
15,RBO,0.815952735,0.802366409,0.829539061
20,RBO,0.773933389,0.757815205,0.790051574
25,RBO,0.733040584,0.714956598,0.75112457
30,RBO,0.690179334,0.671449211,0.70984612
