k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.803399396,0.78380669,0.823168975
10,RBO,0.7,0.68,0.71
15,RBO,0.608393,0.588393,0.628393
20,RBO,0.52,0.49,0.54
25,RBO,0.482121,0.442121,0.512121
30,RBO,0.40878323,0.38878323,0.43878323
