percentage,measurement,mean,lb,ub
0,dist,1.0,1.0,1.0
5,dist,0.9925907402824211,0.9894317973983391,0.9957496831665031
10,dist,0.987450036991175,0.9832416588950711,0.9916584150872788
15,dist,0.9816648675739696,0.9767355815424834,0.9865941536054559
20,dist,0.9776467579048616,0.97232307327274,0.9829704425369831
25,dist,0.96915136031954,0.9632381974331383,0.9750645232059416
30,dist,0.9655446403596362,0.9591441789444398,0.9719451017748325
