k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.9023,0.8823,0.9123
10,RBO,0.832560217,0.815816992,0.849303442
15,RBO,0.791983324,0.775398256,0.808568392
20,RBO,0.746267714,0.726530296,0.766005132
25,RBO,0.694865763,0.673228464,0.716503062
30,RBO,0.658180457,0.634446665,0.681914248
