k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.82,0.81,0.83
10,RBO,0.790260217,0.773516992,0.807003442
15,RBO,0.749683324,0.733098256,0.766268392
20,RBO,0.703967714,0.684230296,0.723705132
25,RBO,0.652565763,0.630928464,0.674203062
30,RBO,0.615880457,0.592146665,0.639614248
