k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.89,0.87,0.9
10,RBO,0.820260217,0.803516992,0.837003442
15,RBO,0.779683324,0.763098256,0.796268392
20,RBO,0.733967714,0.714230296,0.753705132
25,RBO,0.682565763,0.660928464,0.704203062
30,RBO,0.645880457,0.622146665,0.669614248
