k,measurement,mean,lb,ub
0,RBO,1,1,1
5,RBO,0.95,0.93,0.96
10,RBO,0.923260217,0.906516992,0.940003442
15,RBO,0.882683324,0.866098256,0.899268392
20,RBO,0.842367714,0.822630296,0.862105132
25,RBO,0.790965763,0.769328464,0.812603062
30,RBO,0.754280457,0.730546665,0.778014248
