k,measurement,mean,lb,ub
1,RBO,0.512013,0.492013,0.532013
2,RBO,0.552122,0.532122,0.572122
3,RBO,0.582013,0.562013,0.602013
4,RBO,0.593312141,0.573312141,0.613312141
5,RBO,0.60192714,0.58192714,0.62192714
6,RBO,0.603102414,0.583102414,0.623102414
7,RBO,0.6022241,0.5822241,0.6222241
8,RBO,0.5822241,0.5622241,0.6022241
9,RBO,0.5627531,0.5427531,0.5827531
10,RBO,0.5522241,0.5322241,0.5722241
11,RBO,0.5422241,0.5222241,0.5622241
12,RBO,0.5422241,0.5222241,0.5622241
